Muestra	SiO2	Al2O3	TiO2	Fe2O3	FeO	MnO	MgO	CaO	Na2O	K2O	P2O5
a	55.2	17.86	1.01	0	7.52	0.14	3.87	7.82	3.64	1.03	0.28
b	53.5	18.12	1.01	0	8.04	0.15	3.88	9.64	3.28	0.69	0.22
c	52.68	18.67	0.96	0	7.82	0.14	4.01	9.99	3.14	0.61	0.21
d	51.71	18.43	0.86	0	8.57	0.15	6.58	9.95	2.85	0.48	0.16
e	51.3	18.21	0.83	0	8.42	0.15	6.53	9.89	2.82	0.49	0.17
f	50.72	18.2	0.85	0	8.49	0.15	6.18	9.73	2.83	0.51	0.18
g	51.44	18.29	0.85	0	8.46	0.15	6.55	9.97	2.81	0.47	0.16
h	50.83	18.19	0.83	0	8.29	0.15	6.35	9.83	2.78	0.49	0.18
i	51.83	19.91	0.88	0	7.88	0.15	4.59	10.33	2.95	0.54	0.17
j	50.64	17.88	0.85	0	8.37	0.15	5.81	9.11	2.84	0.66	0.14
k	50.53	17.93	0.83	0	8.49	0.15	5.66	8.77	2.86	0.63	0.19
l	50.91	18.64	0.84	0	8.42	0.15	6.48	9.98	2.8	0.49	0.17
m	55.33	17	1.09	0	9.04	0.17	3.77	7.94	3.69	0.92	0.24
n	54.29	17.1	1.09	0	9.33	0.17	4.01	8.12	3.63	0.86	0.24
o	55	17.75	1.13	0	9.07	0.17	3.86	8	3.7	0.91	0.25
p	52.2	17.05	1.02	0	9.2	0.17	5.11	9.3	3.14	0.62	0.2
